,ClientID,DistID,ClientAge,Gender,DisponentID,AccountID,DspType,CardID,CardType,CrdIssueDate,DistName,Region,Inhabitants,Municipalities<499,Muncipalities<500_1999,Municipalities<2000_9999,Municipalities<10000,NumCities,RatioUrban,AvgSalary,UnempRate95,UnempRate96,Entrep1000Inhab,Crimes95,Crimes96,AccDistID,StatementFreq,AccOpenedOn,DaysAccOpenedOn,OrderFrequency,FreqOrdLease,FreqOrdHousing,FreqOrdInsurance,MValLease,MValHousing,MValInsurance,LoanID,LoanDate,LoanAmount,LoanDuration,MonthlyLoanPymt,LoanStatus,DaysLoan,TransactionRecency,LOR,TransactionFrequency,MValTrnCred,MValTrnWDR,CustomerType
0,1,18,29.07123287671233,F,1,1,OWNER,,,,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,18,MONTHLY,1995-03-24,812,1.0,0.0,1.0,0.0,,29401.0,,,,,,,,,1,1378,239,1905.102941176471,1320.102189781022,
1,2,1,54.942465753424656,M,2,2,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1993-02-26,56,2.0,0.0,1.0,0.0,,29403.0,,4959.0,1994-01-05,80952.0,24.0,3373.0,A,369.0,1,2134,478,10506.930921052632,4383.553442622951,Favourable
2,3,1,59.26849315068493,F,3,2,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1993-02-26,56,2.0,0.0,1.0,0.0,,29403.0,,4959.0,1994-01-05,80952.0,24.0,3373.0,A,369.0,1,2134,478,10506.930921052632,4383.553442622951,Favourable
3,4,5,43.11232876712329,M,4,3,OWNER,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,5,MONTHLY,1997-07-07,1648,3.0,0.0,1.0,1.0,,29404.0,29406.0,,,,,,,,1,542,117,3762.1521739130435,1717.7859154929579,
4,5,5,39.52328767123288,F,5,3,DISPONENT,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,5,MONTHLY,1997-07-07,1648,3.0,0.0,1.0,1.0,,29404.0,29406.0,,,,,,,,1,542,117,3762.1521739130435,1717.7859154929579,
5,6,12,80.33150684931506,M,6,4,OWNER,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,12,MONTHLY,1996-02-21,1146,2.0,0.0,2.0,0.0,,29407.5,,,,,,,,,1,1044,186,2959.1692307692306,1310.9537190082644,
6,7,15,70.98082191780821,M,7,5,OWNER,,,,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,15,MONTHLY,1997-05-30,1610,1.0,0.0,1.0,0.0,,29409.0,,,,,,,,,1,580,84,2785.285714285714,1416.2530612244898,
7,8,51,61.9013698630137,F,8,6,OWNER,,,,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,51,MONTHLY,1994-09-27,634,1.0,0.0,1.0,0.0,,29410.0,,,,,,,,,1,1556,246,3511.287878787879,2040.4734693877554,
8,9,60,64.25479452054795,M,9,7,OWNER,1.0,gold,1998-10-16,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,60,MONTHLY,1996-11-24,1423,1.0,0.0,1.0,0.0,,29411.0,,,,,,,,,1,767,130,12358.19411764706,7111.037974683544,
9,10,57,56.70958904109589,M,10,8,OWNER,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,57,MONTHLY,1995-09-21,993,2.0,0.0,1.0,0.0,,29412.0,,,,,,,,,1,1197,254,10628.115476190476,4824.378823529411,
10,11,57,49.394520547945206,F,11,8,DISPONENT,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,57,MONTHLY,1995-09-21,993,2.0,0.0,1.0,0.0,,29412.0,,,,,,,,,1,1197,254,10628.115476190476,4824.378823529411,
11,12,40,18.873972602739727,M,12,9,OWNER,,,,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,70,MONTHLY,1993-01-27,26,,,,,,,,,,,,,,,1,2164,361,1968.0650273224041,1889.2033707865169,
12,13,54,25.610958904109587,F,13,10,OWNER,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,54,MONTHLY,1996-08-28,1335,2.0,1.0,1.0,0.0,29415.0,29414.0,,,,,,,,,1,855,156,9321.191525423728,5058.296907216495,
13,14,76,57.56712328767123,F,14,11,OWNER,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,76,MONTHLY,1995-10-10,1012,1.0,0.0,1.0,0.0,,29416.0,,,,,,,,,1,1178,186,1780.3000000000002,1097.7233644859814,
14,15,21,81.4,F,15,12,OWNER,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,21,MONTHLY,1997-04-15,1565,2.0,0.0,2.0,0.0,,29417.5,,,,,,,,,1,625,106,3113.648717948718,1422.6716417910447,
15,16,21,80.9041095890411,M,16,12,DISPONENT,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,21,MONTHLY,1997-04-15,1565,2.0,0.0,2.0,0.0,,29417.5,,,,,,,,,1,625,106,3113.648717948718,1422.6716417910447,
16,17,76,65.26301369863013,M,17,13,OWNER,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,76,MONTHLY,1997-08-17,1689,1.0,0.0,1.0,0.0,,29419.0,,,,,,,,,1,501,75,3571.593548387097,2215.7863636363636,
17,18,76,68.78904109589041,F,18,13,DISPONENT,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,76,MONTHLY,1997-08-17,1689,1.0,0.0,1.0,0.0,,29419.0,,,,,,,,,1,501,75,3571.593548387097,2215.7863636363636,
18,19,47,57.04931506849315,M,19,14,OWNER,2.0,classic,1998-03-13,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,47,MONTHLY,1996-11-27,1426,1.0,0.0,1.0,0.0,,29420.0,,,,,,,,,1,764,124,7934.346153846154,5184.333333333333,
19,20,46,21.005479452054793,M,20,15,OWNER,,,,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,70,MONTHLY,1993-10-02,274,1.0,0.0,1.0,0.0,,29421.0,,,,,,,,,1,1916,365,9213.163565891473,4835.062711864407,
20,21,12,47.205479452054796,F,21,16,OWNER,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,12,MONTHLY,1997-09-23,1726,,,,,,,,,,,,,,,1,464,60,10850.559375,11220.928571428569,
